gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category,vulnerability_score,combined_rank
PRTN3,PRTN3 (5657),0.005966662265072,0.0572895174037361,0.6037309277879335,0.0239957418740769,0.0180290796090049,0.0918016836867321,0.1151807185590917,92,970,0.9758305929010568,Other,0.0051716133,17121.0
H2AC7,H2AC7 (3013),0.0092591772678606,0.0677506711984952,0.7248610011146821,-0.3478756059816962,-0.3571347832495569,0.1347709973991211,0.1385340362603319,92,970,0.9999744867960496,Other,0.009010149,17122.0
MS4A4A,MS4A4A (51338),0.0158986473863458,0.144027929792249,0.8528385988836384,-0.0034175603391512,-0.0193162077254971,0.1159109912365484,0.1045692105516455,92,970,0.9999744867960496,Other,0.018439589,17123.0
CPB2,CPB2 (1361),-0.0043415753566029,-0.0507160450304859,0.2383832363795552,0.0079738543916614,0.0123154297482644,0.0781810938170093,0.0924355983404084,92,970,0.8381297636323698,Other,-0.0056921407,17124.0
FAU,FAU (2197),0.0448053544958804,0.1336023351161117,0.9571388557280732,-2.6243099287938545,-2.669115283289735,0.3339775998348663,0.3367438124466437,92,970,0.9999744867960496,Other,0.06322013,17126.0
SPATA2L,SPATA2L (124044),-0.0164980403197413,-0.1385863882880852,0.0915219121137017,-0.0145063656248217,0.0019916746949196,0.1156313021376196,0.1223638326386569,92,970,0.7196545836578155,Other,-0.015696784,17126.0
DDX21,DDX21 (9188),0.0244344381982875,0.0836274907989475,0.7521531925529845,-1.008349281392037,-1.0327837195903244,0.309186763588629,0.2741241639151425,92,970,0.9999744867960496,Other,0.031786438,17127.0
NR1D1,NR1D1 (9572),-0.0123912420307181,-0.1095675250061298,0.1708333783960366,-0.0932788600880349,-0.0808876180573167,0.1143008017952654,0.1118707185109191,92,970,0.7962850263594131,Other,-0.012616421,17130.0
S100PBP,S100PBP (64766),-0.000384001880948,-0.0039148656302687,0.4814898953021108,0.0563503490968133,0.0567343509777613,0.0951868978010293,0.1009059968251541,92,970,0.9455882910664722,Other,-0.0017250248,17132.0
BRS3,BRS3 (680),-0.0096889480310446,-0.1127518610480483,0.1500457182595529,0.0668790807289641,0.0765680287600087,0.0875789966671487,0.0842520013686467,92,970,0.7855560208270921,Other,-0.010392745,17132.0
FBXO43,FBXO43 (286151),-0.0102429421948594,-0.0764104583650229,0.309954839266147,-0.1084897350654344,-0.0982467928705749,0.1299063709258294,0.1380723855195908,92,970,0.8725975496415156,Other,-0.010818511,17132.0
VSIG2,VSIG2 (23584),-0.004233957839465,-0.0556913470940867,0.4887211833381982,0.0831614757267749,0.0873954335662399,0.0790923347912965,0.072829460951955,92,970,0.9493439069360892,Other,-0.0055865566,17133.0
RNF148,RNF148 (378925),-0.001533899044448,-0.0161115981625737,0.4399954058260241,0.0443590146506459,0.0458929136950939,0.0968639015258712,0.09351596057409,92,970,0.932838042974163,Other,-0.0028503,17133.0
PPFIA3,PPFIA3 (8541),-0.0045590608165724,-0.0420777272289149,0.4036889539522699,-0.0050572722578874,-0.0004982114413149,0.1054241260255364,0.1111960929681951,92,970,0.9199090368623798,Other,-0.005970511,17134.0
MEPE,MEPE (56955),-0.0079010340310806,-0.0667899611068847,0.1879612205096586,-0.1300438723654846,-0.1221428383344039,0.1239789427206799,0.1123274439725307,92,970,0.8048300249153758,Other,-0.008895981,17136.0
PLPP2,PLPP2 (8612),0.0037875516459598,0.035937752859416,0.7644714773705783,-0.0299729998666376,-0.0337605515125974,0.1000910018383654,0.1104388456980221,92,970,0.9999744867960496,Other,0.0026584931,17136.0
SOHLH2,SOHLH2 (54937),-0.0098077261233193,-0.1176287281228041,0.0653874141345776,0.0493705336090222,0.0591782597323416,0.0757338360556597,0.0903791407508006,92,970,0.6772261833164764,Other,-0.010479714,17138.0
SEMA4G,SEMA4G (57715),0.0034218398049398,0.0376306712617212,0.6203528276266153,-0.0510556799987991,-0.0544775198037389,0.0869501227392392,0.0947470681289971,92,970,0.9775194118232629,Other,0.0022576472,17139.0
KCNK17,KCNK17 (89822),-0.0249706495820049,-0.1852967200034375,0.0394136659564706,-0.0316874280654173,-0.0067167784834124,0.1535567370791042,0.1128761653222609,92,970,0.6197177585029575,Other,-0.020079944,17139.0
